time_s,deflections_path1,deflections_path2
0,,0.0055658627087198514
1,,0.0
2,,0.0
3,,0.001392757660167131
4,,0.0
5,,0.0
6,,0.003883495145631068
7,,0.0
8,,0.0
9,,0.0016366612111292963
10,,0.003424657534246575
11,,0.0
12,,0.0016778523489932886
13,,0.001697792869269949
14,,0.0017331022530329288
15,,0.0
16,,0.00641025641025641
17,,0.003430531732418525
18,,0.0016611295681063123
19,,0.0016233766233766235
20,,0.001692047377326565
21,,0.0
22,0.8019625334522748,0.0011111111111111111
23,5.59260642270351,0.002152080344332855
24,6.838185255198487,0.002642007926023778
25,5.07625845229151,0.0027210884353741495
26,5.370634622606083,0.0013513513513513514
27,4.867641544806899,0.0013306719893546241
28,4.149680330951486,0.0
29,3.2242219722534684,0.001367053998632946
30,2.873779113448535,0.0
31,4.725699558173785,0.001314060446780552
32,4.826626551335089,0.0006640106241699867
33,4.651345291479821,0.0
34,5.466173752310536,0.003947368421052632
35,4.715630885122411,0.000663129973474801
36,4.541294642857143,0.0013404825737265416
37,3.9569288389513106,0.0026595744680851063
38,4.364591147786947,0.0006510416666666666
39,4.820427728613569,0.0
40,4.0673076923076925,0.0013577732518669382
41,3.7385132611131864,0.0013020833333333333
42,3.269776119402985,0.0006711409395973154
43,4.007355645457889,0.0006447453255963894
44,3.8643497757847536,0.002652519893899204
45,5.561037090385308,0.0024706609017912293
46,4.479229607250756,0.0019933554817275745
47,4.948816730875069,0.004574565416285453
48,5.014900662251655,0.001863932898415657
49,6.218524681087077,0.0038535645472061657
