42,443,41,1,2
54,443,443,5,1,41,0,3,53,1,2,67,3,0
55,443,54,1,2
57,443,70,3,0
59,443,72,3,0
60,443,73,3,0
68,443,81,3,0
69,443,82,3,0
156,386,386,5,1,157,1,1,168,3,2,169,2,0
167,386,168,2,1
168,386,386,5,1,156,2,3,181,3,0
181,386,386,5,1,168,0,3,169,2,3,194,3,0
218,378,219,2,1
318,374,317,1,2
366,443,16,0,4
367,431,317,0,4
368,443,83,0,4
374,389,209,0,4
376,443,17,0,4
381,428,182,0,4
386,437,208,0,4
389,374,209,0,4
391,443,16,0,4
392,443,16,0,4
396,443,17,0,4
397,443,17,0,4
399,443,17,0,4
402,443,16,0,4
406,443,341,0,4
414,443,17,0,4
428,381,182,0,4
431,367,317,0,4
437,386,208,0,4
443,366,15,0,4
443,368,109,0,4
443,376,15,0,4
443,391,15,0,4
443,392,15,0,4
443,396,15,0,4
443,397,15,0,4
443,399,15,0,4
443,402,15,0,4
443,406,340,0,4
443,414,15,0,4
