time_s,deflections_path1,deflections_path2
0,,0.0
1,,0.0
2,,0.0
3,,0.0
4,,0.0
5,,0.0
6,,0.0
7,,0.0
8,,0.0
9,,0.0
10,,0.0
11,,0.0
12,,0.0
13,,0.0
14,,0.0
15,,0.0
16,,0.0
17,,0.0
18,,0.0
19,,0.0
20,,0.0
21,,0.0
22,0.725,0.0
23,5.770209580838324,0.0
24,6.312220566318927,0.0
25,3.81390134529148,0.0
26,4.5097965335342876,0.0
27,4.848952590959207,0.0
28,3.757158795091112,0.0
29,3.9644327967053536,0.0
30,4.113448534936138,0.0
31,5.409023117076808,0.0
32,4.280788177339901,0.0
33,5.257543103448276,0.0
34,5.506210011290929,0.0
35,3.9732838589981445,0.0
36,4.071561684681327,0.0
37,4.7693169092945125,0.0
38,5.00935628742515,0.0
39,5.6503206337231235,0.0
40,5.197435897435898,0.0
41,4.959469417833456,0.0
42,4.045623145400594,0.0
43,4.812776957163958,0.0
44,4.433506686478455,0.0
45,5.875,0.0
46,3.9516248153618907,0.0
47,4.100386100386101,0.0
48,5.702762430939226,0.0
49,6.294280955024986,0.0
