time_s,deflections_path1,deflections_path2
0,,0.0018115942028985507
1,,0.0
2,,0.0
3,,0.004418262150220913
4,,0.0
5,,0.0
6,,0.0
7,,0.0035460992907801418
8,,0.0
9,,0.0
10,,0.0
11,,0.0
12,,0.0
13,,0.0
14,,0.0017006802721088435
15,,0.0
16,,0.001692047377326565
17,,0.0
18,,0.0
19,,0.005025125628140704
20,,0.0
21,,0.0016233766233766235
22,0.8950874271440467,0.002229654403567447
23,1.0415754923413567,0.0
24,1.0243452600516414,0.0006747638326585695
25,1.039179787623581,0.0013477088948787063
26,1.040103016924209,0.0
27,1.044485294117647,0.0
28,1.03641044501655,0.0
29,1.047811695476278,0.0
30,1.0367807720320465,0.0
31,1.0350294985250736,0.0006756756756756757
32,1.0358727810650887,0.0013404825737265416
33,1.0317929759704252,0.0
34,1.0312270389419544,0.0006662225183211193
35,1.0483038348082596,0.0
36,1.0351648351648353,0.0
37,1.038716814159292,0.0
38,1.047583917373663,0.0
39,1.0249632892804699,0.0019973368841544607
40,1.0423884998157023,0.0013440860215053765
41,1.0374449339207048,0.0006849315068493151
42,1.0380495012929443,0.0006662225183211193
43,1.029012118986412,0.002028397565922921
44,1.051641460715603,0.0
45,1.0743055555555556,0.0005984440454817474
46,1.023332118118848,0.0019723865877712033
47,0.5402719665271967,0.0
48,0.531959852086635,0.0026954177897574125
49,0.5430851063829787,0.0027624309392265192
