time_s,deflections_path1,deflections_path2
0,,0.0018552875695732839
1,,0.0
2,,0.0
3,,0.004694835680751174
4,,0.0
5,,0.0
6,,0.0017391304347826088
7,,0.001652892561983471
8,,0.0
9,,0.005
10,,0.003472222222222222
11,,0.005008347245409015
12,,0.0033500837520938024
13,,0.0016611295681063123
14,,0.003401360544217687
15,,0.001644736842105263
16,,0.004975124378109453
17,,0.0016835016835016834
18,,0.0
19,,0.0
20,,0.0
21,,0.0
22,0.870216306156406,0.0032397408207343412
23,1.0530111792282726,0.0
24,1.0505822416302766,0.0006557377049180328
25,1.0487012987012987,0.0006426735218508997
26,1.0562865497076024,0.0
27,1.0514758819294456,0.0
28,1.0623866521581429,0.0006557377049180328
29,1.0283505154639174,0.000664451827242525
30,1.0429872495446266,0.0
31,1.0526315789473684,0.0
32,1.0428156748911466,0.0006605019815059445
33,1.0464181286549707,0.0019710906701708277
34,1.0395025603511339,0.0006523157208088715
35,1.0412710007304602,0.0013029315960912053
36,1.0584392014519057,0.0
37,1.0495479204339964,0.0006540222367560497
38,1.0571842200506696,0.0019305019305019305
39,1.0532030401737242,0.0006653359946773121
40,1.0405405405405406,0.0013360053440213762
41,1.0465884079236978,0.001326259946949602
42,1.0535190615835777,0.0019317450096587251
43,1.0347574221578566,0.0006635700066357001
44,1.054162122864413,0.0
45,1.0706093189964159,0.0012978585334198572
46,1.0018175209014903,0.0
47,0.532725321888412,0.0
48,0.531317494600432,0.003714020427112349
49,0.5266558966074314,0.0
