time_s,deflections_path1,deflections_path2
0,,0.0034482758620689655
1,,0.003937007874015748
2,,0.0
3,,0.0
4,,0.0
5,,0.0
6,,0.0018083182640144665
7,,0.0033112582781456954
8,,0.005199306759098787
9,,0.0
10,,0.0017064846416382253
11,,0.0017064846416382253
12,,0.001736111111111111
13,,0.0034482758620689655
14,,0.00338409475465313
15,,0.0016750418760469012
16,,0.0033222591362126247
17,,0.0033277870216306157
18,,0.0017211703958691911
19,,0.0017301038062283738
20,,0.0016806722689075631
21,,0.0
22,0.8434256055363322,0.002229654403567447
23,1.5565024082993701,0.0006920415224913495
24,1.3378776713338245,0.000676132521974307
25,1.392962962962963,0.0006574621959237344
26,1.3849869936826458,0.0006756756756756757
27,1.4471028037383178,0.0013422818791946308
28,1.3653989560029829,0.0006548788474132286
29,1.3233222098628106,0.0013605442176870747
30,1.3239332096474954,0.0
31,1.348975791433892,0.0026490066225165563
32,1.366591928251121,0.0
33,1.2406098921532167,0.0013029315960912053
34,1.3084077380952381,0.0013315579227696406
35,1.2748063445223166,0.0
36,1.263894000736106,0.0
37,1.295648940126441,0.0
38,1.3291139240506329,0.0006626905235255136
39,1.3500744047619047,0.0
40,1.4454001495886313,0.0013351134846461949
41,1.3273743016759776,0.0
42,1.3402177994742772,0.0
43,1.329617242660721,0.0006626905235255136
44,1.3195571955719556,0.0
45,1.373941847626058,0.0012690355329949238
46,1.3377827215424545,0.002663115845539281
47,0.8262295081967214,0.0
48,0.7859495060373216,0.0
49,0.9820944112859469,0.0009208103130755065
